1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
60,60,54,54,60,54,54,54,54,60,54,60,60,60,54,54,60,54,54,54,60,60,60,60,60,60,60,60,54,60,60,72,60,72,54,60,54,54,54,60,60,54,60,60,54,60,54,54,60,72,60,72,72,54,54,60,72,54,54,60,54,72,54,54,72,72,54,54,54,72,72,72,72,54,72,90,54,54,90,72,72,72,90,90,72,72,90,90,90,90,72,72,72,72,72,72,90,72,90,90
10,30,10,10,10,7,7,7,11,10,11,22,30,30,10,20,22,7,20,20,22,22,30,10,30,22,22,22,20,30,30,30,22,30,47,30,47,47,47,22,30,47,22,22,47,22,47,47,47,30,30,30,30,47,47,73,73,64,64,73,64,73,64,64,73,73,64,64,64,73,73,73,73,64,73,64,64,64,73,73,73,73,64,64,73,73,64,64,64,64,73,73,73,73,73,73,64,73,64,64
65,65,42,42,65,42,42,42,42,42,42,65,65,65,42,42,65,42,42,42,65,65,65,65,65,65,65,65,42,65,65,65,65,65,42,65,42,42,42,79,65,42,65,65,42,65,42,79,79,65,65,65,65,74,74,65,65,74,74,79,74,65,78,74,65,65,78,78,78,79,65,79,65,74,79,79,78,78,79,79,65,79,74,79,93,93,78,78,99,79,93,79,93,93,93,93,99,93,99,99
24,2,24,24,24,24,24,24,24,24,24,27,25,25,24,24,27,24,24,24,27,27,27,24,25,28,27,28,28,25,25,25,28,25,28,27,24,24,28,28,27,24,28,28,24,28,28,28,28,27,27,25,25,28,28,82,82,100,100,82,100,82,100,100,82,82,100,100,100,82,91,82,82,100,82,82,100,100,82,82,91,82,100,100,91,91,100,100,100,100,91,91,91,91,91,91,100,91,100,100
1,32,4,4,1,18,18,4,4,4,4,1,32,32,4,4,1,18,18,18,1,1,32,33,32,33,33,33,40,32,32,32,33,32,40,33,18,18,55,40,33,18,40,33,18,33,55,55,40,32,33,32,32,55,55,70,70,55,55,70,55,70,88,55,70,70,88,88,88,70,70,70,70,89,70,84,88,88,84,70,70,70,89,84,70,70,88,88,89,84,70,70,70,70,70,70,89,70,88,89
21,31,21,21,21,37,37,37,21,21,37,21,31,31,21,37,21,37,37,37,21,21,21,21,31,21,21,21,21,31,31,31,21,31,37,31,37,37,37,21,31,37,21,21,45,21,45,61,61,31,31,31,31,61,61,81,81,68,61,61,61,81,68,61,81,81,68,68,68,81,81,81,81,61,61,61,77,77,61,81,81,81,68,61,81,98,77,77,77,61,81,81,98,81,98,98,77,98,77,77
23,23,9,9,15,9,9,9,9,15,9,23,23,23,15,9,23,39,9,9,23,23,23,15,23,15,23,15,15,23,23,23,23,50,39,50,39,39,39,15,50,39,50,50,39,50,39,39,39,50,50,50,50,39,39,50,50,39,39,80,39,50,39,39,50,50,39,39,39,80,86,80,80,80,80,80,39,39,80,80,94,80,80,80,86,86,80,80,80,80,94,92,96,94,94,96,80,96,80,80
14,14,51,51,14,51,51,51,51,51,51,14,14,14,51,51,14,67,51,51,14,51,14,51,14,51,51,51,51,51,14,14,51,53,76,51,67,67,76,51,51,67,51,51,67,51,67,76,51,51,51,51,53,76,76,51,51,67,67,76,76,51,67,67,51,53,67,67,67,76,53,76,51,67,76,76,67,67,76,76,95,95,87,76,95,95,87,87,87,76,95,95,95,95,95,95,87,95,87,87
12,12,19,29,12,19,19,19,19,12,19,12,12,12,29,19,12,19,19,19,12,12,12,29,12,29,12,29,29,36,36,36,44,36,29,36,19,19,19,44,36,69,44,44,69,44,19,29,44,36,36,66,66,44,44,44,66,69,69,44,69,66,69,69,66,66,69,69,69,44,66,66,66,83,83,83,69,69,83,83,66,66,83,83,66,66,83,83,83,83,66,66,66,66,66,66,83,66,83,83
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
